graph_size,run,augmentation_ratio,requested_loose_edges,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement_vs_original,interleaved_improvement_vs_original,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,two_phase_runtime_ratio_vs_original,interleaved_runtime_ratio_vs_original,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original,interleaved_firstfit_improvement_vs_original,two_phase_firstfit_improvement_vs_original_firstfit,interleaved_firstfit_improvement_vs_original_firstfit,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original,interleaved_firstfit_runtime_ratio_vs_original,two_phase_firstfit_runtime_ratio_vs_original_firstfit,interleaved_firstfit_runtime_ratio_vs_original_firstfit,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
10,1,0,0,232.182,232.182,232.182,0,0,2,1,2,0.5,1,4,4,4,0,0,0,0,232.182,232.182,232.182,0,0,0,0,0,1,0,1,0.5,0,0.5,0,1,4,4,4,0,0,0,0
10,2,0,0,119.384,119.384,119.384,0,0,0,1,2,0,0,4,4,4,0,0,0,0,119.384,119.384,119.384,0,0,0,0,0,0,1,2,0,0,0,0,0,4,4,4,0,0,0,0
10,3,0,0,360.376,360.376,360.376,0,0,0,1,1,0,0,3,3,3,0,0,0,0,360.376,360.376,360.376,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0
10,4,0,0,143.077,143.077,143.077,0,0,0,0,1,0,0,2,2,2,0,0,0,0,143.077,143.077,143.077,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
10,5,0,0,129.555,129.555,129.555,0,0,0,3,3,0,0,5,5,5,0,0,0,0,129.555,129.555,129.555,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,0,0,0,0
10,6,0,0,258.108,258.108,258.108,0,0,0,0,1,0,0,1,1,1,0,0,0,0,258.108,258.108,258.108,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
10,7,0,0,134.673,134.673,134.673,0,0,0,2,3,0,0,4,4,4,0,0,0,0,134.673,134.673,134.673,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0
10,8,0,0,146.537,146.537,146.537,0,0,0,1,1,0,0,3,3,3,0,0,0,0,146.537,146.537,146.537,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0
10,9,0,0,211.698,211.698,211.698,0,0,0,3,4,0,0,6,6,6,0,0,0,0,211.698,211.698,211.698,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0
10,10,0,0,228.424,228.424,228.424,0,0,0,1,1,0,0,2,2,2,0,0,0,0,228.424,228.424,228.424,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
10,1,0.05,1,276.372,233.593,233.593,0.154787,0.154787,0,2,2,0,0,1,1,1,1,1,3,3,276.372,233.593,233.593,0,0.154787,0.154787,0.154787,0.154787,0,1,1,0,0,0,0,0,1,1,1,1,1,3,1
