graph_size,run,original_objective,two_phase_objective,interleaved_objective,two_phase_improvement,interleaved_improvement,original_runtime_ms,two_phase_runtime_ms,interleaved_runtime_ms,original_move_operations,two_phase_move_operations,interleaved_move_operations,two_phase_replication_operations,interleaved_replication_operations,two_phase_final_replica_count,interleaved_final_replica_count,original_firstfit_objective,two_phase_firstfit_objective,interleaved_firstfit_objective,original_firstfit_improvement,two_phase_firstfit_improvement,interleaved_firstfit_improvement,original_firstfit_runtime_ms,two_phase_firstfit_runtime_ms,interleaved_firstfit_runtime_ms,original_firstfit_move_operations,two_phase_firstfit_move_operations,interleaved_firstfit_move_operations,two_phase_firstfit_replication_operations,interleaved_firstfit_replication_operations,two_phase_firstfit_final_replica_count,interleaved_firstfit_final_replica_count
10,1,232.182,232.182,232.182,0,0,13,38,80,4,4,4,0,0,0,0,232.182,232.182,232.182,0,0,0,5,22,30,4,4,4,0,0,0,0
10,2,119.384,119.384,119.384,0,0,11,33,52,4,4,4,0,0,0,0,119.384,119.384,119.384,0,0,0,5,17,21,4,4,4,0,0,0,0
10,3,360.376,360.376,360.376,0,0,9,30,51,3,3,3,0,0,0,0,360.376,360.376,360.376,0,0,0,4,19,28,3,3,3,0,0,0,0
10,4,143.077,143.077,143.077,0,0,6,23,32,2,2,2,0,0,0,0,143.077,143.077,143.077,0,0,0,6,17,22,2,2,2,0,0,0,0
10,5,129.555,129.555,129.555,0,0,12,40,65,5,5,5,0,0,0,0,129.555,129.555,129.555,0,0,0,4,19,24,5,5,5,0,0,0,0
20,1,499.56,499.56,499.56,0,0,76,245,435,10,10,10,0,0,0,0,499.56,499.56,499.56,0,0,0,17,68,84,10,10,10,0,0,0,0
20,2,508.401,508.401,508.401,0,0,35,122,196,4,4,4,0,0,0,0,293.903,293.903,508.401,42.1907,42.1907,0,146,179,131,22,22,9,0,1,0,1
20,3,786.684,786.684,728.548,0,7.39,87,238,298,6,6,4,0,1,0,2,786.684,786.684,786.684,0,0,0,30,91,117,6,6,6,0,0,0,0
20,4,681.216,681.216,681.216,0,0,108,288,511,7,7,7,0,0,0,0,681.216,681.216,681.216,0,0,0,33,97,124,7,7,7,0,0,0,0
20,5,222.206,222.206,222.206,0,0,24,83,121,2,2,2,0,0,0,0,222.206,222.206,222.206,0,0,0,21,65,81,2,2,2,0,0,0,0
30,1,731.162,731.162,731.162,0,0,318,1147,2123,10,10,10,0,0,0,0,764.992,764.992,764.992,-4.62691,-4.62691,-4.62691,208,341,972,12,12,12,0,1,0,0
30,2,803.8,797.453,797.453,0.789675,0.789675,258,982,1708,7,7,7,1,1,1,1,803.8,797.453,797.453,0,0.789675,0.789675,86,432,702,7,7,7,1,1,1,1
30,3,680.022,680.022,680.022,0,0,600,1188,1783,8,8,8,0,0,0,0,680.022,680.022,680.022,0,0,0,225,338,483,8,8,8,0,0,0,0
30,4,491.551,491.551,491.551,0,0,145,401,871,3,3,3,0,0,0,0,491.551,491.551,491.551,0,0,0,94,261,390,3,3,3,0,0,0,0
30,5,944.816,944.816,915.257,0,3.12854,615,1457,4032,11,11,15,0,1,0,1,969.689,969.689,940.129,-2.63255,-2.63255,0.496066,308,369,876,9,9,9,0,3,0,3
40,1,1155.35,1155.35,1155.35,0,0,519,1008,2163,7,7,7,0,0,0,0,1155.35,1155.35,1155.35,0,0,0,275,421,703,7,7,6,0,1,0,1
40,2,1589.4,1589.4,1589.4,0,0,1101,1831,3660,13,13,13,0,0,0,0,1589.4,1589.4,1597.86,0,0,-0.532181,331,464,756,13,13,11,0,1,0,1
40,3,1438.77,1438.77,1438.77,0,0,304,870,1385,4,4,4,0,0,0,0,1438.77,1438.77,1438.77,0,0,0,167,474,570,4,4,4,0,0,0,0
40,4,1249.53,1249.53,1249.53,0,0,1061,2355,3414,14,14,14,0,0,0,0,1249.53,1249.53,1249.53,0,0,0,213,489,640,14,14,14,0,0,0,0
40,5,830.53,830.53,830.53,0,0,365,952,1161,4,4,4,0,0,0,0,830.53,830.53,830.53,0,0,0,213,488,486,4,4,4,0,0,0,0
50,1,1549.22,1546.88,1535.94,0.151267,0.857281,960,3287,5483,15,15,16,1,1,1,1,1549.22,1546.88,1535.94,0,0.151267,0.857281,175,793,943,15,15,16,1,1,1,1
50,2,879.498,879.498,879.498,0,0,1139,3072,10676,20,20,20,0,0,0,0,881.189,867.518,867.518,-0.192339,1.36212,1.36212,140,796,1058,20,20,20,1,2,1,1
50,3,1607.5,1607.5,1607.5,0,0,293,1112,1980,4,4,4,0,0,0,0,1607.5,1607.5,1607.5,0,0,0,183,743,615,4,4,4,0,0,0,0
50,4,1882.47,1882.47,1882.47,0,0,739,2105,13138,15,15,15,0,0,0,0,1873.58,1873.58,1873.58,0.472276,0.472276,0.472276,502,847,5089,18,18,18,0,0,0,0
50,5,1272.46,1272.46,1272.46,0,0,7205,15365,21930,19,19,19,0,0,0,0,1367.33,1367.33,1367.33,-7.45573,-7.45573,-7.45573,2216,2908,1104,25,25,25,0,1,0,0
60,1,1063.94,1047.04,1047.04,1.58882,1.58882,1602,3937,9196,14,14,14,1,1,1,1,1063.94,1047.04,1047.04,0,1.58882,1.58882,675,1498,1651,19,19,20,1,2,1,1
60,2,1721.46,1721.46,1712.51,0,0.519435,2121,5353,10273,18,18,18,0,1,0,1,1721.46,1721.46,1721.46,0,0,0,760,1172,2011,21,21,22,0,1,0,0
60,3,2621.55,2621.55,2621.55,0,0,1831,3721,7195,14,14,14,0,0,0,0,2662.09,2662.09,2685.52,-1.54628,-1.54628,-2.44027,721,1113,1464,18,18,15,0,2,0,2
60,4,1947.26,1939.4,1920.63,0.403752,1.36752,1268,4126,7977,14,14,16,2,1,3,1,1947.26,1939.4,1933.47,0,0.403752,0.707933,444,1331,1878,14,14,17,2,2,2,1
60,5,1695.9,1695.9,1695.9,0,0,955,2813,5070,14,14,14,0,0,0,0,1685.52,1677.62,1685.52,0.612494,1.07794,0.612494,673,1366,1553,25,25,19,1,0,1,0
70,1,2007.86,2007.86,2007.86,0,0,1043,2867,5516,9,9,9,0,0,0,0,2105.87,2105.87,2105.87,-4.88141,-4.88141,-4.88141,334,1110,1639,15,15,15,0,0,0,0
70,2,2102.66,2102.58,2098.38,0.00402476,0.203473,3272,6790,15239,11,11,13,1,1,1,1,2143.73,2143.65,2140.93,-1.95313,-1.94911,-1.81997,680,2642,2719,16,16,17,1,1,1,1
70,3,2331.99,2331.99,2331.99,0,0,2337,6307,11631,14,14,14,0,0,0,0,2310.9,2310.9,2310.9,0.904391,0.904391,0.904391,907,1669,2094,16,16,16,0,0,0,0
70,4,1783.77,1783.77,1783.77,0,0,2164,7134,13346,24,24,24,0,0,0,0,1825.04,1824,1824,-2.3136,-2.25503,-2.25503,241,1366,1723,26,26,26,1,1,1,1
70,5,2747.29,2737.34,2737.34,0.362209,0.362209,5770,13292,25203,25,25,25,2,2,2,2,2747.29,2737.34,2737.34,0,0.362209,0.362209,641,1959,2240,25,25,25,2,2,2,2
80,1,4236.37,4120.61,4103.75,2.7325,3.13067,3392,10371,20460,16,16,17,1,1,1,1,4273.93,4153.48,4163.49,-0.886533,1.9566,1.72029,835,2118,3788,18,18,20,3,4,4,5
80,2,2119.66,2119.66,2119.66,0,0,2982,7774,14002,12,12,12,0,0,0,0,2150.83,2150.83,2150.83,-1.47017,-1.47017,-1.47017,969,2224,3161,14,14,14,0,0,0,0
80,3,2397.61,2397.61,2340.62,0,2.37726,3941,8482,18162,13,13,13,0,2,0,4,2410.72,2410.72,2410.72,-0.546429,-0.546429,-0.546429,717,1559,2051,12,12,12,0,0,0,0
80,4,2103.67,2103.67,2103.67,0,0,811,2640,4404,6,6,6,0,0,0,0,2181.53,2181.53,2199.11,-3.70108,-3.70108,-4.53681,1318,1706,1557,18,18,14,0,1,0,1
80,5,2547.2,2547.2,2547.2,0,0,2311,5729,10637,12,12,12,0,0,0,0,2486.8,2484.46,2484.46,2.37125,2.46325,2.46325,2063,3154,4159,15,15,14,1,1,1,1
90,1,2138.48,2138.48,2138.48,0,0,1766,4474,7483,8,8,8,0,0,0,0,2101.73,2101.73,2101.73,1.71814,1.71814,1.71814,1293,1492,2748,13,13,13,0,0,0,0
90,2,3631.98,3631.98,3631.98,0,0,2401,5925,10972,14,14,14,0,0,0,0,3631.98,3631.98,3631.98,0,0,0,710,1653,2491,14,14,14,0,0,0,0
90,3,2479.09,2474.4,2391.39,0.189058,3.53743,5702,14940,29517,39,39,39,1,2,1,2,2479.09,2474.4,2474.4,0,0.189058,0.189058,1440,2782,3791,43,43,43,1,1,1,1
90,4,2861.83,2857.73,2857.73,0.143412,0.143412,4104,10299,18859,20,20,20,1,1,1,1,2860.19,2856.08,2856.08,0.0575482,0.20096,0.20096,1490,2301,3230,27,27,27,1,1,1,1
